class path,method name,method arguments,Time,OwnTime,count
test\java\org\apache\ivy\plugins\matcher\ExactPatternMatcherTest.java,getExactExpressions,,0,0,1
src\java\org\apache\ivy\core\module\descriptor\DefaultDependencyDescriptor.java,getIncludeRules,String,9,4,3759
src\java\org\apache\ivy\plugins\resolver\BasicResolver.java,checkForcedResolvedModuleRevision,ResolvedModuleRevision,0,0,766
test\java\org\apache\ivy\ant\IvyBuildNumberTest.java,testLatest2,,94,0,1
test\java\org\apache\ivy\ant\IvyResolveTest.java,getIvy,,0,0,32
src\java\org\apache\ivy\plugins\matcher\AbstractPatternMatcher.java,getMatcher,String,13904,159,606322
src\java\org\apache\ivy\ant\IvyArtifactReport.java,createTransformerHandler,FileOutputStream,129,0,1
test\java\org\apache\ivy\core\resolve\ResolveTest.java,testResolveForceWithDynamicRevisionsAndSeveralConfs,,253,0,1
src\java\org\apache\ivy\core\module\id\ArtifactRevisionId.java,newInstance,"ModuleRevisionId, String, String, String, Map",3755,92,95333
src\java\org\apache\ivy\plugins\repository\url\URLResource.java,toString,,5,0,450
src\java\org\apache\ivy\core\cache\DefaultRepositoryCacheManager.java,getIsLocalKey,Artifact,310,12,4391
src\java\org\apache\ivy\core\settings\XmlSettingsParser.java,propertiesStarted,Map,922,0,352
